STATE,LGA,WARD,POLLING UNIT,,APC,PDP,LP,NNPP,,,,,,,,,
DELTA,OKPE,UGHOTON,"UDUMURHIE TOWN HALL,JEDDO I",,10,15,69,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"OGWALEDION TOWN HALL,UGBOKODO",,8,60,94,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"OPEN SPACE BY UGBOKODO  JUNCTION BY UGHOTON ROAD,UGBOKODO",,5,19,51,1,,,,,,,,,
DELTA,OKPE,UGHOTON,"OPEN SPACE BY DDPA JUNCTION ,JEDDO",,9,3,106,1,,,,,,,,,
DELTA,OKPE,UGHOTON,"UDUMURHIE TOWN HALL,JEDDO II",,16,18,52,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"OPEN SPACE BY NEW OKPE ROAD JUNCTION,JEDDO",,7,14,103,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"JEDDO SECONDARY SCHOOL,JEDDO",,1,2,72,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"OPEN SPACE BY WATERSIDE MARKET, UGHOTON",,0,0,10,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"UBRETE TOWN HALL,UGHOTON I",,29,35,51,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"IDODO TOWN HALL II, UGHOTON",,2,0,7,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"ESEZI SECONDARY SCHOOL,UGHOTON",,13,9,54,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"UGBOKODO TOWN HALL,UGBOKODO III",,10,41,73,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,U RHUOAKA SECONDARY SCH.URHUOAKA,,0,1,2,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,GENERAL HOSPITAL ABRAKA,,2,2,28,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,OPEN SPACE BY AMUKU CLOSE JUNCTION,,0,3,16,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,OPEN SPACE BY LEMMY GRACE-NUJT ROAD JUNCTION,,3,6,84,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,ABRAKA OGBEJI VILLAGE ,,36,53,84,4,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,ABRAKA /FRONT OF CAMPUS,,11,25,101,2,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,URHUOKA /URHUOKA P/S II,,22,44,124,3,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,URHUOKA/URHUOKA P/S HALL I,,28,56,81,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,ABRAKA P.O/ABRAKA G/S,,9,15,233,3,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,EKREJETA /EKREJETA P/S,,16,10,140,1,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,ABRAKA P.O/ABRAKA MODEL P/S II,,33,21,113,2,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,ABRAKA P.O ABRAKA MODEL P/S I,,13,57,173,1,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA I,ABRAKA P.O/CAMPUS HALL,,4,21,219,4,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA II,AJALOMI/AJALOMI VILLAGE,,18,45,89,5,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA II,UGONO ABRAKA/UGONO P/S,,35,93,67,1,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA II,ABRAKA INLAND/ORHONO P/S,,24,32,41,8,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA II,ABRAKA INLAND/ABRAKA INLAND T/HALL,,20,34,79,5,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,URHUANGBESA/URHUANGBESA P/S,,22,81,42,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,URHUANGBESA P/S,,11,7,9,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,UGHEREUGHERE VILLAGE,,9,17,22,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,UMIAGHWAUMIAGHWA P/S II,,37,57,80,1,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,UMIAGHWAMUMIAGHWA P/S I,,39,52,75,4,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,ORIA ABRAKA MARKET,,6,18,11,1,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,ORIAORIA P/S,,19,38,62,6,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,OPEN SPACE BY ODUMERE JUNCTION,,14,36,24,3,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,"OPEN SPACE BY TOWN HALL JUNCTION,ORIA ABRAKA",,18,37,15,2,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,"CUSTOMARY COURT,ORIA ABRAKA",,1,48,4,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,"OPEN SPACE BY MARKET JUNCTION,ORIA-ABRAKA",,0,4,2,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,"EBISE PRIMARY SCHOOL II,ORIA-ABRAKA",,1,28,0,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,"EBISE PRIMARY SCHOOL I,ORIA-ABRAKA",,9,33,3,0,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,UMEGHE  WALTH CENTRE UMEGHE-ABRAKA,,1,22,17,1,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,UMIAGHWA/UMIAGHWA P/S,,24,44,69,2,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,UMEGHE/UMEGHE P/S II,,36,25,53,2,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,UMEGHE/UMEGHE P/S I,,46,42,86,2,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,ORIA/ORIA T/HALL,,48,58,75,8,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,ORIA /ORIA P/S III,,27,60,59,5,,,,,,,,,
DELTA,ETHIOPE EAST,ABRAKA III,ORIA/ORIA P/S II,,38,40,95,5,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON I,"CUSTOMARY COURT,OKPARA INLAND",,10,3,25,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON I,OKPARA INLAND I OKPARA T/HALL,,49,24,61,0,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON I,"PRIMARY HEALTH CARE CENTER,OKPARA INLAND",,21,15,25,1,,,,,,,,,
DELTA,ETHIOPE EAST,AGBON II,ASORO/ASORO VILLAGE,,23,57,29,0,,,,,,,,,
